Number,Country,Total_Cases,New_Cases,Total_Deths,New_Death,Total_Recovered,New_Recovered,Active_Cases,Serious_Critical,Total_Cases_per_million,Total_death_per_million,Total_Tests,Tests_per_million,Population
26,DPRK,4772813,0,74,0,4772739,0,0,0,183636,3,0,0,25990679
27,Thailand,4682132,823,32771,4,4642894,811,6467,1496,66813,468,17270775,246450,70078203
28,Israel,4662579,0,11698,0,4643014,0,7867,101,499955,1254,41373364,4436346,9326000
29,Chile,4624307,0,61154,0,4548348,0,14805,123,240221,3177,45173079,2346630,19250195
30,Belgium,4544505,0,32673,0,4453468,0,58364,46,389475,2800,35555508,3047194,11668278
31,Canada,4233468,0,44992,0,4134345,2978,54131,99,110280,1172,64928884,1691366,38388419
32,Peru,4144416,0,216575,0,3916139,682,11702,145,123037,6430,35176534,1044303,33684208
33,Czechia,4104162,0,41090,0,4039526,0,23546,46,382252,3827,56226695,5236828,10736784
34,Switzerland,4084307,0,14183,0,4015545,2712,54579,54,465520,1617,22318542,2543819,8773637
35,South Africa,4019077,0,102185,0,3909265,0,7627,192,66151,1682,26174429,430811,60756135
36,Philippines,3948040,0,62947,0,3855975,0,29118,668,35091,559,32817225,291685,112508994
37,Romania,3268562,0,67021,0,3182087,0,19454,132,171746,3522,25109223,1319362,19031335
38,Denmark,3111742,0,7074,0,3093953,0,10715,0,533294,1212,128407148,22006555,5834950
39,Sweden,2588441,0,20194,0,2548995,870,19252,13,253298,1976,18965590,1855920,10218971
40,Iraq,2459982,0,25355,0,2433704,0,923,21,58342,601,19239264,456286,42164965
41,Serbia,2361738,0,17006,0,2301671,0,43061,33,272938,1965,11042127,1276102,8653016
42,Hungary,2094142,0,47503,0,2014175,0,32464,18,217998,4945,11394556,1186160,9606259
43,Bangladesh,2025197,0,29363,0,1965188,0,30646,1331,12063,175,14877088,88614,167885689
44,Singapore,1907907,0,1618,0,1825515,0,80774,8,321005,272,24345019,4096043,5943546
45,Slovakia,1843685,0,20457,0,1818009,0,5219,22,337659,3747,7299450,1336848,5460193
46,Georgia,1780691,0,16900,0,1637293,0,126498,0,448679,4258,16920079,4263340,3968738
47,New Zealand,1779476,0,2959,0,1767660,0,8857,0,363292,604,7544063,1540170,4898203
48,Hong Kong,1765404,0,10161,0,1477811,0,277432,7,232159,1336,54352132,7147553,7604299
49,Jordan,1746997,0,14122,0,1731007,0,1868,59,169597,1371,17201885,1669945,10300869
50,Ireland,1663653,0,7905,0,1648962,0,6786,14,331392,1575,12710936,2531959,5020199
51,Pakistan,1572673,75,30618,2,1537813,0,4242,47,6853,133,30531764,133042,229488994
52,Norway,1462408,0,4098,0,1457198,0,1112,20,265344,744,11002430,1996315,5511370
53,Kazakhstan,1393620,63,13690,0,1378657,0,1273,24,72565,713,11575012,602707,19205043
54,Finland,1292940,0,5981,0,1265306,1595,21653,21,232754,1077,11505032,2071128,5554960
55,Morocco,1264945,0,16278,0,1248549,0,118,293,33488,431,12580249,333051,37772756
56,Bulgaria,1259471,0,37718,0,1211960,0,9793,44,184010,5511,10564514,1543482,6844597
57,Lithuania,1250158,0,9320,0,1217160,0,23678,12,469683,3502,10176707,3823375,2661708
58,Croatia,1232379,0,16908,0,1210328,0,5143,10,303595,4165,5229312,1288234,4059286
59,Lebanon,1215805,0,10676,0,1087587,0,117542,74,181875,1597,4795578,717380,6684849
60,Slovenia,1183392,0,6822,0,1147256,0,29314,22,569477,3283,2744065,1320510,2078034
61,Tunisia,1145686,0,29249,0,0,0,0,99,95104,2428,4948208,410754,12046656
62,Guatemala,1124467,0,19795,0,1104053,0,619,5,60507,1065,5898698,317407,18584039
63,Cuba,1111186,0,8530,0,1102563,0,93,23,98286,754,14150243,1251608,11305652
64,Bolivia,1108262,67,22237,3,1052480,691,33545,220,92412,1854,2705422,225590,11992656
65,Costa Rica,1072807,0,8913,0,860711,0,203183,52,207012,1720,4659757,899158,5182354
66,UAE,1027502,0,2345,0,1006731,0,18426,0,101917,233,190805464,18925762,10081785
67,Ecuador,1003778,0,35894,0,964781,461,3103,759,55416,1982,3082403,170173,18113361
68,Nepal,999742,0,12018,0,986720,0,1004,0,33076,398,5937643,196444,30225582
69,Belarus,994037,0,7118,0,985592,0,1327,0,105381,755,13646641,1446722,9432800
